feature,gain_importance
P0_PUBLIC_VPS,0.05181464925408363
TOTAL_P0_ORE_PRODUCTION,0.03702611103653908
P1_PUBLIC_VPS,0.03589516878128052
TOTAL_P0_WHEAT_PRODUCTION,0.03411049023270607
TOTAL_P1_ORE_PRODUCTION,0.030471285805106163
TOTAL_P1_WHEAT_PRODUCTION,0.030267059803009033
P1_LONGEST_ROAD_LENGTH,0.027844209223985672
P0_ROADS_LEFT,0.02643653005361557
P1_ROADS_LEFT,0.022242125123739243
TOTAL_P0_SHEEP_PRODUCTION,0.021632825955748558
TOTAL_P0_BRICK_PRODUCTION,0.02107960730791092
P0_HAS_ORE_PORT,0.020715536549687386
EFFECTIVE_P1_WHEAT_PRODUCTION,0.020236043259501457
TOTAL_P0_WOOD_PRODUCTION,0.019969532266259193
EFFECTIVE_P0_ORE_PRODUCTION,0.01970377005636692
P1_NUM_DEVS_IN_HAND,0.019086509943008423
P1_KNIGHT_PLAYED,0.018533527851104736
P0_LONGEST_ROAD_LENGTH,0.017783768475055695
TOTAL_P1_BRICK_PRODUCTION,0.0171736441552639
TOTAL_P1_SHEEP_PRODUCTION,0.016962189227342606
TOTAL_P1_WOOD_PRODUCTION,0.016749868169426918
P0_KNIGHT_PLAYED,0.016413850709795952
P1_HAS_ORE_PORT,0.015343391336500645
P0_HAS_WHEAT_PORT,0.015024524182081223
EFFECTIVE_P0_SHEEP_PRODUCTION,0.013518220745027065
P0_ACTUAL_VPS,0.013516785576939583
P0_VICTORY_POINT_IN_HAND,0.013105801306664944
P1_HAS_WHEAT_PORT,0.012580158188939095
EFFECTIVE_P0_WHEAT_PRODUCTION,0.0123692462220788
P1_YEAR_OF_PLENTY_PLAYED,0.012006983160972595
P1_HAS_SHEEP_PORT,0.011798758991062641
P0_WHEAT_PORT_DISTANCE,0.011452742852270603
P0_NUM_DEVS_IN_HAND,0.011337502859532833
P0_HAS_BRICK_PORT,0.011305315420031548
EFFECTIVE_P1_SHEEP_PRODUCTION,0.011193047277629375
P1_SHEEP_PORT_DISTANCE,0.010942451655864716
P1_HAS_BRICK_PORT,0.010771533474326134
P1_HAS_3:1_PORT,0.010563435964286327
P0_HAS_3:1_PORT,0.010202240198850632
P0_YEAR_OF_PLENTY_PLAYED,0.00991132389754057
P1_WHEAT_PORT_DISTANCE,0.0098073435947299
P1_HAS_WOOD_PORT,0.009781677275896072
P0_ORE_PORT_DISTANCE,0.009767466224730015
P0_BRICK_PORT_DISTANCE,0.009558123536407948
P1_BRICK_PORT_DISTANCE,0.00938493199646473
P0_HAS_SHEEP_PORT,0.009383559226989746
P1_ORE_PORT_DISTANCE,0.00935416854918003
EFFECTIVE_P1_ORE_PRODUCTION,0.009330215863883495
P0_SHEEP_PORT_DISTANCE,0.00926347728818655
P0_SETTLEMENTS_LEFT,0.009233728051185608
P0_HAS_WOOD_PORT,0.008888333104550838
P1_3:1_PORT_DISTANCE,0.008745789527893066
P0_MONOPOLY_PLAYED,0.008745517581701279
P0_3:1_PORT_DISTANCE,0.008739759214222431
P1_ROAD_BUILDING_PLAYED,0.00867815874516964
P1_WOOD_PORT_DISTANCE,0.008640631102025509
EFFECTIVE_P0_WOOD_PRODUCTION,0.008563782088458538
P0_WOOD_PORT_DISTANCE,0.008547579869627953
EFFECTIVE_P0_BRICK_PRODUCTION,0.008093793876469135
P1_MONOPOLY_PLAYED,0.00774314533919096
P0_ROAD_BUILDING_PLAYED,0.007386218290776014
P1_SETTLEMENTS_LEFT,0.0069417874328792095
EFFECTIVE_P1_BRICK_PRODUCTION,0.0067042759619653225
EFFECTIVE_P1_WOOD_PRODUCTION,0.005956513807177544
P1_CITIES_LEFT,0.005938023328781128
P0_WHEAT_IN_HAND,0.005190074443817139
P0_CITIES_LEFT,0.005157711915671825
P0_NUM_RESOURCES_IN_HAND,0.0036629419773817062
BANK_DEV_CARDS,0.0034386429470032454
P0_SHEEP_IN_HAND,0.0022886223159730434
P0_ORE_IN_HAND,0.001186668872833252
P1_NUM_RESOURCES_IN_HAND,0.0011457898654043674
BANK_WHEAT,0.0009385384619235992
P0_ROAD_BUILDING_IN_HAND,0.0009376488742418587
P0_BRICK_IN_HAND,0.0009106497163884342
P0_KNIGHT_IN_HAND,0.0007823577616363764
BANK_SHEEP,0.0006034518009983003
P0_WOOD_IN_HAND,0.0004589637683238834
BANK_BRICK,0.0004384847416076809
BANK_WOOD,0.0003212945885024965
BANK_ORE,0.0002683355414774269
IS_DISCARDING,0.0
IS_MOVING_ROBBER,0.0
P0_HAS_ARMY,0.0
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.0
P0_HAS_ROAD,0.0
P0_HAS_ROLLED,0.0
P0_MONOPOLY_IN_HAND,0.0
P0_YEAR_OF_PLENTY_IN_HAND,0.0
P1_HAS_ARMY,0.0
P1_HAS_ROAD,0.0
P1_HAS_ROLLED,0.0
