feature,gain_importance
P1_PUBLIC_VPS,0.26934564113616943
P0_PUBLIC_VPS,0.08048977702856064
P1_HAS_ARMY,0.06769927591085434
P0_ACTUAL_VPS,0.055736616253852844
P1_HAS_ROAD,0.03500756248831749
P1_NUM_DEVS_IN_HAND,0.031125003471970558
P0_HAS_ROAD,0.0280007291585207
P1_KNIGHT_PLAYED,0.02500516176223755
P0_CITIES_LEFT,0.0210821945220232
P0_KNIGHT_PLAYED,0.02016247995197773
P0_HAS_ARMY,0.01978907734155655
P1_CITIES_LEFT,0.017240947112441063
P0_VICTORY_POINT_IN_HAND,0.01573561504483223
P0_SETTLEMENTS_LEFT,0.01147586852312088
P1_HAS_WHEAT_PORT,0.01049121655523777
P1_HAS_BRICK_PORT,0.009988710284233093
P1_LONGEST_ROAD_LENGTH,0.00821414403617382
TOTAL_P0_ORE_PRODUCTION,0.007613704074174166
TOTAL_P0_WHEAT_PRODUCTION,0.007443918380886316
TOTAL_P1_BRICK_PRODUCTION,0.007333832327276468
TOTAL_P1_ORE_PRODUCTION,0.007190912030637264
TOTAL_P1_SHEEP_PRODUCTION,0.0070823985151946545
P0_HAS_ORE_PORT,0.006989374291151762
P0_NUM_DEVS_IN_HAND,0.0069192443042993546
P1_HAS_WOOD_PORT,0.006867218762636185
P0_HAS_WHEAT_PORT,0.006831804756075144
P0_ORE_PORT_DISTANCE,0.006724297069013119
P0_ROADS_LEFT,0.0065498994663357735
P1_SETTLEMENTS_LEFT,0.006506881210952997
TOTAL_P0_WOOD_PRODUCTION,0.00649533374235034
TOTAL_P1_WOOD_PRODUCTION,0.006307576317340136
P1_WOOD_PORT_DISTANCE,0.006279942579567432
P0_LONGEST_ROAD_LENGTH,0.006269251462072134
P1_BRICK_PORT_DISTANCE,0.006166505161672831
TOTAL_P0_BRICK_PRODUCTION,0.006126264575868845
TOTAL_P0_SHEEP_PRODUCTION,0.00606947485357523
P1_ROAD_BUILDING_PLAYED,0.005966417491436005
P1_HAS_SHEEP_PORT,0.005878729280084372
TOTAL_P1_WHEAT_PRODUCTION,0.005867412779480219
P0_MONOPOLY_PLAYED,0.005727624054998159
P0_ROAD_BUILDING_IN_HAND,0.005714558530598879
P1_SHEEP_PORT_DISTANCE,0.00568932481110096
P1_YEAR_OF_PLENTY_PLAYED,0.005615470465272665
P1_HAS_ORE_PORT,0.005467302165925503
P0_BRICK_PORT_DISTANCE,0.005387621931731701
P0_SHEEP_PORT_DISTANCE,0.005382471717894077
P1_MONOPOLY_PLAYED,0.005069120321422815
BANK_DEV_CARDS,0.005048961378633976
P0_ROAD_BUILDING_PLAYED,0.004983939230442047
P0_WOOD_PORT_DISTANCE,0.0044869170524179935
P1_WHEAT_PORT_DISTANCE,0.004212385043501854
P0_HAS_WOOD_PORT,0.004182606004178524
P0_HAS_BRICK_PORT,0.004153525456786156
P0_HAS_3:1_PORT,0.004132511559873819
P1_3:1_PORT_DISTANCE,0.0041095903143286705
P1_ORE_PORT_DISTANCE,0.00382556626573205
P0_HAS_SHEEP_PORT,0.0035051980521529913
P1_HAS_3:1_PORT,0.0034388445783406496
P0_WHEAT_PORT_DISTANCE,0.0033672647550702095
P1_ROADS_LEFT,0.0033639126922935247
P0_3:1_PORT_DISTANCE,0.0032136959489434958
P0_YEAR_OF_PLENTY_PLAYED,0.00321359490044415
EFFECTIVE_P0_ORE_PRODUCTION,0.003174601588398218
EFFECTIVE_P1_SHEEP_PRODUCTION,0.0030575585551559925
EFFECTIVE_P1_ORE_PRODUCTION,0.002499735215678811
EFFECTIVE_P0_WHEAT_PRODUCTION,0.0024807672016322613
EFFECTIVE_P1_WHEAT_PRODUCTION,0.0023622428998351097
EFFECTIVE_P1_BRICK_PRODUCTION,0.0023194397799670696
EFFECTIVE_P0_WOOD_PRODUCTION,0.0021051676012575626
EFFECTIVE_P0_SHEEP_PRODUCTION,0.0019656510557979345
EFFECTIVE_P0_BRICK_PRODUCTION,0.0018588720122352242
EFFECTIVE_P1_WOOD_PRODUCTION,0.0013911110581830144
P0_WHEAT_IN_HAND,0.00030890031484887004
P0_SHEEP_IN_HAND,0.00018717064813245088
BANK_BRICK,0.00012484822946134955
BANK_WHEAT,0.00011539370461832732
BANK_SHEEP,0.00010356242273701355
BANK_ORE,0.0001028507758746855
P0_KNIGHT_IN_HAND,9.126408986048773e-05
P1_NUM_RESOURCES_IN_HAND,6.769836909370497e-05
P0_NUM_RESOURCES_IN_HAND,6.464590114774182e-05
P0_ORE_IN_HAND,5.897154551348649e-05
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,5.576630064751953e-05
P0_BRICK_IN_HAND,3.9687063690507784e-05
P0_WOOD_IN_HAND,3.418813139433041e-05
P0_MONOPOLY_IN_HAND,3.0025978048797697e-05
BANK_WOOD,1.9388937289477326e-05
P0_YEAR_OF_PLENTY_IN_HAND,1.8111753888661042e-05
IS_DISCARDING,0.0
IS_MOVING_ROBBER,0.0
P0_HAS_ROLLED,0.0
P1_HAS_ROLLED,0.0
