feature,gain_importance
P0_PUBLIC_VPS,0.5192690491676331
P0_ACTUAL_VPS,0.36727166175842285
P1_PUBLIC_VPS,0.11345929652452469
BANK_BRICK,0.0
BANK_DEV_CARDS,0.0
BANK_ORE,0.0
BANK_SHEEP,0.0
BANK_WHEAT,0.0
BANK_WOOD,0.0
EFFECTIVE_P0_BRICK_PRODUCTION,0.0
EFFECTIVE_P0_ORE_PRODUCTION,0.0
EFFECTIVE_P0_SHEEP_PRODUCTION,0.0
EFFECTIVE_P0_WHEAT_PRODUCTION,0.0
EFFECTIVE_P0_WOOD_PRODUCTION,0.0
EFFECTIVE_P1_BRICK_PRODUCTION,0.0
EFFECTIVE_P1_ORE_PRODUCTION,0.0
EFFECTIVE_P1_SHEEP_PRODUCTION,0.0
EFFECTIVE_P1_WHEAT_PRODUCTION,0.0
EFFECTIVE_P1_WOOD_PRODUCTION,0.0
IS_DISCARDING,0.0
IS_MOVING_ROBBER,0.0
P0_3:1_PORT_DISTANCE,0.0
P0_BRICK_IN_HAND,0.0
P0_BRICK_PORT_DISTANCE,0.0
P0_CITIES_LEFT,0.0
P0_HAS_3:1_PORT,0.0
P0_HAS_ARMY,0.0
P0_HAS_BRICK_PORT,0.0
P0_HAS_ORE_PORT,0.0
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.0
P0_HAS_ROAD,0.0
P0_HAS_ROLLED,0.0
P0_HAS_SHEEP_PORT,0.0
P0_HAS_WHEAT_PORT,0.0
P0_HAS_WOOD_PORT,0.0
P0_KNIGHT_IN_HAND,0.0
P0_KNIGHT_PLAYED,0.0
P0_LONGEST_ROAD_LENGTH,0.0
P0_MONOPOLY_IN_HAND,0.0
P0_MONOPOLY_PLAYED,0.0
P0_NUM_DEVS_IN_HAND,0.0
P0_NUM_RESOURCES_IN_HAND,0.0
P0_ORE_IN_HAND,0.0
P0_ORE_PORT_DISTANCE,0.0
P0_ROADS_LEFT,0.0
P0_ROAD_BUILDING_IN_HAND,0.0
P0_ROAD_BUILDING_PLAYED,0.0
P0_SETTLEMENTS_LEFT,0.0
P0_SHEEP_IN_HAND,0.0
P0_SHEEP_PORT_DISTANCE,0.0
P0_VICTORY_POINT_IN_HAND,0.0
P0_WHEAT_IN_HAND,0.0
P0_WHEAT_PORT_DISTANCE,0.0
P0_WOOD_IN_HAND,0.0
P0_WOOD_PORT_DISTANCE,0.0
P0_YEAR_OF_PLENTY_IN_HAND,0.0
P0_YEAR_OF_PLENTY_PLAYED,0.0
P1_3:1_PORT_DISTANCE,0.0
P1_BRICK_PORT_DISTANCE,0.0
P1_CITIES_LEFT,0.0
P1_HAS_3:1_PORT,0.0
P1_HAS_ARMY,0.0
P1_HAS_BRICK_PORT,0.0
P1_HAS_ORE_PORT,0.0
P1_HAS_ROAD,0.0
P1_HAS_ROLLED,0.0
P1_HAS_SHEEP_PORT,0.0
P1_HAS_WHEAT_PORT,0.0
P1_HAS_WOOD_PORT,0.0
P1_KNIGHT_PLAYED,0.0
P1_LONGEST_ROAD_LENGTH,0.0
P1_MONOPOLY_PLAYED,0.0
P1_NUM_DEVS_IN_HAND,0.0
P1_NUM_RESOURCES_IN_HAND,0.0
P1_ORE_PORT_DISTANCE,0.0
P1_ROADS_LEFT,0.0
P1_ROAD_BUILDING_PLAYED,0.0
P1_SETTLEMENTS_LEFT,0.0
P1_SHEEP_PORT_DISTANCE,0.0
P1_WHEAT_PORT_DISTANCE,0.0
P1_WOOD_PORT_DISTANCE,0.0
P1_YEAR_OF_PLENTY_PLAYED,0.0
TOTAL_P0_BRICK_PRODUCTION,0.0
TOTAL_P0_ORE_PRODUCTION,0.0
TOTAL_P0_SHEEP_PRODUCTION,0.0
TOTAL_P0_WHEAT_PRODUCTION,0.0
TOTAL_P0_WOOD_PRODUCTION,0.0
TOTAL_P1_BRICK_PRODUCTION,0.0
TOTAL_P1_ORE_PRODUCTION,0.0
TOTAL_P1_SHEEP_PRODUCTION,0.0
TOTAL_P1_WHEAT_PRODUCTION,0.0
TOTAL_P1_WOOD_PRODUCTION,0.0
