feature,gain_importance
P1_PUBLIC_VPS,0.29494956135749817
P0_PUBLIC_VPS,0.14876534044742584
P0_ACTUAL_VPS,0.04978077486157417
P1_NUM_DEVS_IN_HAND,0.049424320459365845
P0_VICTORY_POINT_IN_HAND,0.027032412588596344
P0_HAS_ORE_PORT,0.020546380430459976
TOTAL_P0_ORE_PRODUCTION,0.012728722766041756
P1_KNIGHT_PLAYED,0.012462452985346317
P0_NUM_DEVS_IN_HAND,0.012091121636331081
P0_HAS_ROAD,0.010183649137616158
P1_HAS_ARMY,0.00991471391171217
P1_HAS_BRICK_PORT,0.009435679763555527
P1_SETTLEMENTS_LEFT,0.009079039096832275
P0_CITIES_LEFT,0.008727151900529861
P1_HAS_ORE_PORT,0.008300647139549255
TOTAL_P0_WHEAT_PRODUCTION,0.008139646612107754
P1_HAS_SHEEP_PORT,0.00801645778119564
P1_CITIES_LEFT,0.007925545796751976
TOTAL_P1_ORE_PRODUCTION,0.007764412090182304
P0_YEAR_OF_PLENTY_PLAYED,0.007611444219946861
P0_HAS_WOOD_PORT,0.007540975697338581
TOTAL_P1_WHEAT_PRODUCTION,0.007059438154101372
P0_SHEEP_PORT_DISTANCE,0.006961343809962273
TOTAL_P1_BRICK_PRODUCTION,0.006753123365342617
P0_HAS_WHEAT_PORT,0.006748910527676344
P1_ROAD_BUILDING_PLAYED,0.006714755669236183
TOTAL_P0_WOOD_PRODUCTION,0.006630765274167061
TOTAL_P1_SHEEP_PRODUCTION,0.006604819092899561
P1_BRICK_PORT_DISTANCE,0.0065105813555419445
TOTAL_P0_SHEEP_PRODUCTION,0.006431824993342161
P1_LONGEST_ROAD_LENGTH,0.006403799634426832
P1_ROADS_LEFT,0.006369815673679113
P0_ORE_PORT_DISTANCE,0.006179384421557188
P1_HAS_ROAD,0.006140090990811586
P1_HAS_WHEAT_PORT,0.006063870619982481
P0_WOOD_PORT_DISTANCE,0.006030366290360689
P1_YEAR_OF_PLENTY_PLAYED,0.006015590857714415
P1_WHEAT_PORT_DISTANCE,0.005994714330881834
P0_HAS_SHEEP_PORT,0.005962882656604052
P1_SHEEP_PORT_DISTANCE,0.005919968709349632
P0_WHEAT_PORT_DISTANCE,0.0059150769375264645
TOTAL_P0_BRICK_PRODUCTION,0.005781947169452906
P1_ORE_PORT_DISTANCE,0.005679446272552013
P0_MONOPOLY_PLAYED,0.005666832439601421
P0_BRICK_PORT_DISTANCE,0.0056336913257837296
P0_LONGEST_ROAD_LENGTH,0.005560315679758787
P1_HAS_WOOD_PORT,0.005541589111089706
P0_SETTLEMENTS_LEFT,0.0054493192583322525
TOTAL_P1_WOOD_PRODUCTION,0.005339276511222124
P0_HAS_3:1_PORT,0.005318970885127783
P1_MONOPOLY_PLAYED,0.005317441653460264
P0_KNIGHT_PLAYED,0.005315327551215887
EFFECTIVE_P0_ORE_PRODUCTION,0.005050863604992628
P0_ROAD_BUILDING_IN_HAND,0.004991597030311823
P0_HAS_ARMY,0.004960058722645044
P0_3:1_PORT_DISTANCE,0.00479844631627202
P1_HAS_3:1_PORT,0.004662333521991968
P1_WOOD_PORT_DISTANCE,0.004613211844116449
P0_ROADS_LEFT,0.004542001057416201
EFFECTIVE_P0_WHEAT_PRODUCTION,0.00432226900011301
P0_ROAD_BUILDING_PLAYED,0.0042233215644955635
P1_3:1_PORT_DISTANCE,0.004170984961092472
EFFECTIVE_P1_ORE_PRODUCTION,0.004080377984791994
EFFECTIVE_P1_WHEAT_PRODUCTION,0.004067795816808939
EFFECTIVE_P1_SHEEP_PRODUCTION,0.003911394625902176
EFFECTIVE_P0_SHEEP_PRODUCTION,0.0032306406646966934
P0_HAS_BRICK_PORT,0.0032156254164874554
EFFECTIVE_P0_WOOD_PRODUCTION,0.003090260084718466
EFFECTIVE_P1_BRICK_PRODUCTION,0.0030307720880955458
BANK_DEV_CARDS,0.0030277494806796312
EFFECTIVE_P1_WOOD_PRODUCTION,0.0025725478772073984
EFFECTIVE_P0_BRICK_PRODUCTION,0.002526442054659128
P0_ORE_IN_HAND,0.0005049019819125533
P0_WHEAT_IN_HAND,0.00045683979988098145
BANK_BRICK,0.00023109909670893103
P0_YEAR_OF_PLENTY_IN_HAND,0.00020073371706530452
BANK_SHEEP,0.00019834021804854274
BANK_ORE,0.00019084713130723685
P0_KNIGHT_IN_HAND,0.0001699876884231344
P0_WOOD_IN_HAND,0.00013770729128737003
BANK_WHEAT,0.0001343725889455527
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,8.91240852070041e-05
P0_NUM_RESOURCES_IN_HAND,4.603623892762698e-05
P0_BRICK_IN_HAND,4.081206498085521e-05
P0_SHEEP_IN_HAND,2.7095802579424344e-05
BANK_WOOD,2.5655295758042485e-05
P1_NUM_RESOURCES_IN_HAND,1.5610990885761566e-05
IS_MOVING_ROBBER,6.490673968073679e-06
IS_DISCARDING,0.0
P0_HAS_ROLLED,0.0
P0_MONOPOLY_IN_HAND,0.0
P1_HAS_ROLLED,0.0
