feature,coefficient,abs_coefficient
P1_NUM_DEVS_IN_HAND,-0.6761686281062462,0.6761686281062462
TOTAL_P0_ORE_PRODUCTION,0.6070165253075601,0.6070165253075601
P0_HAS_ORE_PORT,-0.5786627043942077,0.5786627043942077
P0_HAS_ARMY,0.43956091501726996,0.43956091501726996
TOTAL_P0_WHEAT_PRODUCTION,0.4222561740989409,0.4222561740989409
P0_VICTORY_POINT_IN_HAND,0.4215938379801403,0.4215938379801403
TOTAL_P1_ORE_PRODUCTION,-0.3698460793520208,0.3698460793520208
P1_LONGEST_ROAD_LENGTH,-0.3695394560438301,0.3695394560438301
TOTAL_P0_BRICK_PRODUCTION,0.36553284242373363,0.36553284242373363
TOTAL_P0_WOOD_PRODUCTION,0.3327338819354498,0.3327338819354498
P0_NUM_DEVS_IN_HAND,0.31200718938185285,0.31200718938185285
P1_ROADS_LEFT,-0.31030536898675226,0.31030536898675226
P0_LONGEST_ROAD_LENGTH,0.304911488531514,0.304911488531514
TOTAL_P1_WHEAT_PRODUCTION,-0.30221363429518233,0.30221363429518233
P0_ROADS_LEFT,0.2566844211809002,0.2566844211809002
P1_HAS_ROAD,-0.2278208489873883,0.2278208489873883
P1_KNIGHT_PLAYED,-0.2214663190016413,0.2214663190016413
P0_ROAD_BUILDING_IN_HAND,-0.216783049307549,0.216783049307549
P0_SETTLEMENTS_LEFT,0.21262891741270526,0.21262891741270526
P0_HAS_ROAD,0.19301391526309092,0.19301391526309092
P1_3:1_PORT_DISTANCE,0.19200495287537594,0.19200495287537594
P1_SHEEP_PORT_DISTANCE,0.19117817519436867,0.19117817519436867
P0_BRICK_PORT_DISTANCE,-0.18053259991680248,0.18053259991680248
TOTAL_P0_SHEEP_PRODUCTION,0.17469898091199756,0.17469898091199756
P0_ACTUAL_VPS,0.16729544617348144,0.16729544617348144
TOTAL_P1_WOOD_PRODUCTION,-0.1663689191534394,0.1663689191534394
TOTAL_P1_SHEEP_PRODUCTION,-0.16077407228305293,0.16077407228305293
P0_SHEEP_PORT_DISTANCE,-0.14393574556388056,0.14393574556388056
P1_WOOD_PORT_DISTANCE,0.13298234748556864,0.13298234748556864
P0_KNIGHT_PLAYED,0.13087090145822658,0.13087090145822658
P0_CITIES_LEFT,0.1305459374167245,0.1305459374167245
P0_ORE_PORT_DISTANCE,-0.12986039654822892,0.12986039654822892
BANK_DEV_CARDS,0.12294321489518764,0.12294321489518764
P0_HAS_WOOD_PORT,0.12172396814522599,0.12172396814522599
P1_WHEAT_PORT_DISTANCE,0.11582953063154681,0.11582953063154681
P0_ROAD_BUILDING_PLAYED,-0.11523337064072423,0.11523337064072423
P0_HAS_3:1_PORT,0.10853950612688766,0.10853950612688766
P1_PUBLIC_VPS,-0.1046304135329956,0.1046304135329956
P1_ORE_PORT_DISTANCE,0.10210450959876059,0.10210450959876059
P1_HAS_BRICK_PORT,-0.10083216930466246,0.10083216930466246
P1_ROAD_BUILDING_PLAYED,-0.09721352471213911,0.09721352471213911
P0_ORE_IN_HAND,0.08844926179616908,0.08844926179616908
P0_YEAR_OF_PLENTY_PLAYED,0.08212232002215201,0.08212232002215201
P1_BRICK_PORT_DISTANCE,0.07980709686689737,0.07980709686689737
P1_HAS_ORE_PORT,0.07417178924200066,0.07417178924200066
P0_HAS_WHEAT_PORT,-0.07236237942450965,0.07236237942450965
P1_HAS_3:1_PORT,0.06693234860095305,0.06693234860095305
P0_BRICK_IN_HAND,-0.06640136622159343,0.06640136622159343
P0_WOOD_IN_HAND,-0.06462283076244883,0.06462283076244883
BANK_WHEAT,0.05590566807015893,0.05590566807015893
EFFECTIVE_P0_SHEEP_PRODUCTION,0.054265192630385185,0.054265192630385185
BANK_WOOD,-0.053274956246148295,0.053274956246148295
BANK_BRICK,-0.052092680095015415,0.052092680095015415
P0_MONOPOLY_PLAYED,-0.050764494773308674,0.050764494773308674
P0_HAS_BRICK_PORT,-0.047630413460924864,0.047630413460924864
BANK_ORE,0.0449913216968039,0.0449913216968039
P0_HAS_SHEEP_PORT,-0.04064708952497332,0.04064708952497332
P1_HAS_ARMY,-0.03918921713645796,0.03918921713645796
EFFECTIVE_P0_ORE_PRODUCTION,0.03917645164203858,0.03917645164203858
EFFECTIVE_P0_WHEAT_PRODUCTION,0.03787833116927442,0.03787833116927442
P0_WHEAT_IN_HAND,0.03401906365079889,0.03401906365079889
P1_CITIES_LEFT,0.03338276983567116,0.03338276983567116
EFFECTIVE_P1_BRICK_PRODUCTION,0.032725206583318255,0.032725206583318255
BANK_SHEEP,0.02870232605920238,0.02870232605920238
P1_MONOPOLY_PLAYED,0.028575951247402406,0.028575951247402406
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.027971359196281822,0.027971359196281822
P0_WHEAT_PORT_DISTANCE,-0.025977096390447433,0.025977096390447433
EFFECTIVE_P1_ORE_PRODUCTION,-0.025429525082427743,0.025429525082427743
P1_SETTLEMENTS_LEFT,-0.023899984930584848,0.023899984930584848
P0_KNIGHT_IN_HAND,0.023397645360759382,0.023397645360759382
P1_HAS_WOOD_PORT,-0.021820873693857448,0.021820873693857448
EFFECTIVE_P0_WOOD_PRODUCTION,0.020197194399871048,0.020197194399871048
P1_HAS_WHEAT_PORT,-0.01726068224135699,0.01726068224135699
P1_HAS_SHEEP_PORT,-0.01609013539609156,0.01609013539609156
TOTAL_P1_BRICK_PRODUCTION,-0.015072943349366066,0.015072943349366066
EFFECTIVE_P1_SHEEP_PRODUCTION,-0.013547196395970535,0.013547196395970535
EFFECTIVE_P1_WHEAT_PRODUCTION,-0.012769787440736594,0.012769787440736594
P1_NUM_RESOURCES_IN_HAND,-0.012243105514780877,0.012243105514780877
EFFECTIVE_P1_WOOD_PRODUCTION,-0.010918247702872655,0.010918247702872655
P0_WOOD_PORT_DISTANCE,0.010393248059617985,0.010393248059617985
P0_MONOPOLY_IN_HAND,-0.007396138312510877,0.007396138312510877
IS_MOVING_ROBBER,-0.00643866993858115,0.00643866993858115
P1_YEAR_OF_PLENTY_PLAYED,-0.005953479140253972,0.005953479140253972
IS_DISCARDING,-0.0055002887866396075,0.0055002887866396075
EFFECTIVE_P0_BRICK_PRODUCTION,-0.00490670149024913,0.00490670149024913
P0_HAS_ROLLED,0.004039166255974647,0.004039166255974647
P0_NUM_RESOURCES_IN_HAND,-0.003909899295900319,0.003909899295900319
P0_SHEEP_IN_HAND,0.0029186847687381508,0.0029186847687381508
P0_PUBLIC_VPS,-0.0025780231981276094,0.0025780231981276094
P1_HAS_ROLLED,0.001508841163636907,0.001508841163636907
P0_3:1_PORT_DISTANCE,-0.001056937403031856,0.001056937403031856
P0_YEAR_OF_PLENTY_IN_HAND,-0.0008508723031966736,0.0008508723031966736
