feature,coefficient,abs_coefficient
P1_NUM_DEVS_IN_HAND,-1.330474789360824,1.330474789360824
P0_HAS_ARMY,1.0030666135038975,1.0030666135038975
P0_VICTORY_POINT_IN_HAND,0.8681214835941707,0.8681214835941707
P0_ACTUAL_VPS,0.8449808015103757,0.8449808015103757
P0_ROAD_BUILDING_IN_HAND,-0.7045570958378987,0.7045570958378987
P1_PUBLIC_VPS,-0.6285864420496011,0.6285864420496011
P0_NUM_DEVS_IN_HAND,0.587792061600011,0.587792061600011
P0_PUBLIC_VPS,0.5345501370429523,0.5345501370429523
P0_SETTLEMENTS_LEFT,-0.506020273289411,0.506020273289411
P0_HAS_ORE_PORT,-0.45231599557668833,0.45231599557668833
P1_SETTLEMENTS_LEFT,0.44637983054630404,0.44637983054630404
P1_ROAD_BUILDING_PLAYED,-0.43828907715820953,0.43828907715820953
P0_HAS_ROAD,0.43150827695841476,0.43150827695841476
P1_HAS_ROAD,-0.4315081968600664,0.4315081968600664
P1_CITIES_LEFT,0.41331135373401356,0.41331135373401356
P0_ROADS_LEFT,0.3945275385602478,0.3945275385602478
P1_KNIGHT_PLAYED,-0.35813615021386536,0.35813615021386536
P0_ROAD_BUILDING_PLAYED,-0.34653374079915744,0.34653374079915744
P1_ORE_PORT_DISTANCE,0.3259423152840321,0.3259423152840321
P0_3:1_PORT_DISTANCE,-0.32238680921052343,0.32238680921052343
BANK_DEV_CARDS,0.31515298187441476,0.31515298187441476
P0_MONOPOLY_PLAYED,-0.31450635301505375,0.31450635301505375
TOTAL_P1_WOOD_PRODUCTION,-0.28467172131936885,0.28467172131936885
P0_ORE_PORT_DISTANCE,-0.251163153443315,0.251163153443315
P0_HAS_3:1_PORT,-0.24335896214773056,0.24335896214773056
P0_KNIGHT_IN_HAND,0.23068151511933652,0.23068151511933652
P1_HAS_WHEAT_PORT,-0.22696087013253413,0.22696087013253413
P1_HAS_WOOD_PORT,-0.2200318599771734,0.2200318599771734
TOTAL_P0_ORE_PRODUCTION,0.20161758806200653,0.20161758806200653
EFFECTIVE_P0_SHEEP_PRODUCTION,0.19672152541700488,0.19672152541700488
P1_3:1_PORT_DISTANCE,0.1699143049027617,0.1699143049027617
P1_MONOPOLY_PLAYED,-0.1584105221621951,0.1584105221621951
TOTAL_P0_WHEAT_PRODUCTION,0.14721873185168954,0.14721873185168954
P1_HAS_SHEEP_PORT,-0.14449285594697756,0.14449285594697756
EFFECTIVE_P1_WOOD_PRODUCTION,-0.14185228754616735,0.14185228754616735
P1_LONGEST_ROAD_LENGTH,-0.14083249360800262,0.14083249360800262
P0_HAS_WOOD_PORT,0.1330652185872327,0.1330652185872327
P0_ORE_IN_HAND,0.13210947789014346,0.13210947789014346
P0_BRICK_PORT_DISTANCE,-0.11735816708003116,0.11735816708003116
P1_HAS_BRICK_PORT,-0.11671938390541678,0.11671938390541678
P0_WOOD_PORT_DISTANCE,0.11107098299603758,0.11107098299603758
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.09628209756942359,0.09628209756942359
EFFECTIVE_P1_BRICK_PRODUCTION,-0.0886870914190295,0.0886870914190295
TOTAL_P1_SHEEP_PRODUCTION,0.08770266360773774,0.08770266360773774
P0_YEAR_OF_PLENTY_PLAYED,-0.08144162252183387,0.08144162252183387
TOTAL_P0_WOOD_PRODUCTION,0.0799730810652316,0.0799730810652316
P0_HAS_WHEAT_PORT,-0.07749241952228186,0.07749241952228186
EFFECTIVE_P1_SHEEP_PRODUCTION,-0.07683133930630952,0.07683133930630952
BANK_ORE,0.06929154590130068,0.06929154590130068
EFFECTIVE_P0_WHEAT_PRODUCTION,0.06636435365012824,0.06636435365012824
P0_SHEEP_PORT_DISTANCE,0.06201236632410985,0.06201236632410985
BANK_WOOD,-0.0617712501980188,0.0617712501980188
EFFECTIVE_P0_ORE_PRODUCTION,0.06054756453822829,0.06054756453822829
P0_BRICK_IN_HAND,-0.059633803582449525,0.059633803582449525
P1_ROADS_LEFT,0.055853268421478364,0.055853268421478364
P0_WOOD_IN_HAND,-0.050067075324912697,0.050067075324912697
P1_WOOD_PORT_DISTANCE,0.049916710675700304,0.049916710675700304
P1_YEAR_OF_PLENTY_PLAYED,0.04779187871603791,0.04779187871603791
TOTAL_P1_ORE_PRODUCTION,-0.04681476005710882,0.04681476005710882
P1_HAS_ORE_PORT,0.04535390644914675,0.04535390644914675
P0_KNIGHT_PLAYED,0.04386558051545647,0.04386558051545647
P1_BRICK_PORT_DISTANCE,0.042038028468158434,0.042038028468158434
P0_HAS_BRICK_PORT,-0.04040795730096399,0.04040795730096399
EFFECTIVE_P1_WHEAT_PRODUCTION,-0.0386803676281587,0.0386803676281587
TOTAL_P0_BRICK_PRODUCTION,0.03589852956473411,0.03589852956473411
EFFECTIVE_P0_WOOD_PRODUCTION,-0.03503444748349225,0.03503444748349225
P0_WHEAT_PORT_DISTANCE,-0.03389538911066607,0.03389538911066607
P1_NUM_RESOURCES_IN_HAND,-0.03347387743374145,0.03347387743374145
P0_YEAR_OF_PLENTY_IN_HAND,-0.030557265530841742,0.030557265530841742
TOTAL_P0_SHEEP_PRODUCTION,0.026230464833141228,0.026230464833141228
P1_HAS_ARMY,-0.025598301583397782,0.025598301583397782
P1_WHEAT_PORT_DISTANCE,-0.024647100667947598,0.024647100667947598
P1_SHEEP_PORT_DISTANCE,-0.022430597430994292,0.022430597430994292
