feature,coefficient,abs_coefficient
P0_HAS_ROLLED,0.9136340182457086,0.9136340182457086
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.7945528675229439,0.7945528675229439
P1_HAS_ROLLED,-0.7923505944578979,0.7923505944578979
P0_HAS_ROAD,0.7184365005003333,0.7184365005003333
P1_HAS_ROAD,-0.7184364784391467,0.7184364784391467
P1_HAS_ARMY,-0.7130276188481789,0.7130276188481789
P1_SETTLEMENTS_LEFT,0.5859749454216565,0.5859749454216565
P0_HAS_ARMY,0.5604510330961626,0.5604510330961626
P1_PUBLIC_VPS,-0.5424433631237835,0.5424433631237835
P0_SETTLEMENTS_LEFT,-0.5349207870370464,0.5349207870370464
P0_ACTUAL_VPS,0.48920277410403196,0.48920277410403196
P0_PUBLIC_VPS,0.4867824053776632,0.4867824053776632
P1_LONGEST_ROAD_LENGTH,-0.35947640542709425,0.35947640542709425
TOTAL_P1_ORE_PRODUCTION,-0.3501980033559425,0.3501980033559425
P1_CITIES_LEFT,0.3421075455449423,0.3421075455449423
TOTAL_P0_ORE_PRODUCTION,0.3174191011821662,0.3174191011821662
TOTAL_P1_WOOD_PRODUCTION,-0.3066676522692979,0.3066676522692979
TOTAL_P1_WHEAT_PRODUCTION,-0.30317267989025454,0.30317267989025454
P0_CITIES_LEFT,-0.2998869821060896,0.2998869821060896
TOTAL_P1_SHEEP_PRODUCTION,-0.29515769033297956,0.29515769033297956
TOTAL_P0_SHEEP_PRODUCTION,0.28552764987592216,0.28552764987592216
P0_LONGEST_ROAD_LENGTH,0.26350263004751917,0.26350263004751917
TOTAL_P0_WOOD_PRODUCTION,0.26172080848340973,0.26172080848340973
P1_KNIGHT_PLAYED,-0.24266172902792338,0.24266172902792338
EFFECTIVE_P1_ORE_PRODUCTION,-0.24204704578963485,0.24204704578963485
EFFECTIVE_P1_SHEEP_PRODUCTION,-0.24095578416844926,0.24095578416844926
EFFECTIVE_P0_ORE_PRODUCTION,0.23170600732538713,0.23170600732538713
P1_ROADS_LEFT,0.2235884773717,0.2235884773717
TOTAL_P0_WHEAT_PRODUCTION,0.2111797139613901,0.2111797139613901
EFFECTIVE_P1_WHEAT_PRODUCTION,-0.2065158176111795,0.2065158176111795
EFFECTIVE_P0_SHEEP_PRODUCTION,0.2047088338660704,0.2047088338660704
